D,Delta_max,Delta_min,Delta_values,M_K_v2_hash,P,class_id,class_size,d_multiset,n,p_multiset,sign_reversal,sign_set,tau_den,tau_num
19,2,2,[2],9aab104d436ae9fd8d3193cc18db6fd52b675bb3c47af80e8dab9dc64dc4bcb9,10,V2C00326,1,"[1,2,7,9]",4,"[1,2,3,4]",False,"[""positive""]",40,21
19,2,2,[2],bf96277ee91d1ba307c6ca5c6f8f56dfca550361283de79703ed834c3ea70ec4,10,V2C00327,1,"[1,2,7,9]",4,"[1,2,3,4]",False,"[""positive""]",40,21
19,3,3,[3],bfc94cf98b0ecc96b0682396db8424c6ac8854d0b1cdf86939ba5e6f10fea1d4,10,V2C00328,1,"[1,2,7,9]",4,"[1,2,3,4]",False,"[""positive""]",40,21
19,4,4,[4],c2017b9edc99e18f8a626a426936fb04a99a68adc9a130b7b995f3c1c0a09003,10,V2C00329,1,"[1,2,7,9]",4,"[1,2,3,4]",False,"[""positive""]",40,21
19,2,2,[2],d5cb868f906a8e579dbe28390206aa16c73fa6eae9ae6588bab70248a844933c,10,V2C00330,1,"[1,2,7,9]",4,"[1,2,3,4]",False,"[""positive""]",40,21
19,2,2,[2],d5cddb6f6b13568f8478cd83d3321dfc4bd068f719b215d690b045d2b85626d3,10,V2C00331,1,"[1,2,7,9]",4,"[1,2,3,4]",False,"[""positive""]",40,21
19,0,0,[0],d747dd9e20399ecbc192da5caf8df77f5411551f39f98492227f6c89a5e6b397,10,V2C00332,1,"[1,2,7,9]",4,"[1,2,3,4]",False,"[""zero""]",40,21
19,1,1,[1],d7c0bbe3eeeed6da74a3bf1ad7a1dabe069f3a8501b142ae8e8253be77483836,10,V2C00333,1,"[1,2,7,9]",4,"[1,2,3,4]",False,"[""positive""]",40,21
19,2,2,[2],e35f1cef60bc3f4021ce18a8411ef7b5742f00a62cee1b145cc7356eab0358e6,10,V2C00334,1,"[1,2,7,9]",4,"[1,2,3,4]",False,"[""positive""]",40,21
19,0,0,[0],ea66681bd3fa31c8e11d6ea78480e8270755413f76617e47632eef9ba03af4e2,10,V2C00335,1,"[1,2,7,9]",4,"[1,2,3,4]",False,"[""zero""]",40,21
19,1,1,[1],f2c8de3d4c09a32f9a17790a4920cec574780af906752c66e0d3b57c9ded2edd,10,V2C00336,1,"[1,2,7,9]",4,"[1,2,3,4]",False,"[""positive""]",40,21
19,3,3,[3],f8978fbfe533a13cd556d5b074f1b016c3c59536cb5f35b0a8f50ef7f21890f9,10,V2C00337,1,"[1,2,7,9]",4,"[1,2,3,4]",False,"[""positive""]",40,21
20,1,1,[1],4cc0fece6d5f00b0fd00db6478a20e6fb965825f57a980094f5b2905750e5266,10,V2C00338,1,"[1,2,8,9]",4,"[1,2,3,4]",False,"[""positive""]",2,1
20,4,4,[4],66634876a180202a1ec9a82837c788c7c964a7b57f65c0f90d77a9191cc37f25,10,V2C00339,1,"[1,2,8,9]",4,"[1,2,3,4]",False,"[""positive""]",2,1
20,2,2,[2],7664a14cb67c08a74ce4f9a0a091c138c675d4fe9d64de17cfdb17eb70c1940b,10,V2C00340,1,"[1,2,8,9]",4,"[1,2,3,4]",False,"[""positive""]",2,1
20,4,4,[4],87b3871bef93138c3ddb8e04ebf9e06c182a4c4598e64199b8919f83ca0028e5,10,V2C00341,1,"[1,2,8,9]",4,"[1,2,3,4]",False,"[""positive""]",2,1
20,2,2,[2],89f82e06fac1887ab29373489601f45ed715711e6842dd53c6ee8b7bf30d89ba,10,V2C00342,1,"[1,2,8,9]",4,"[1,2,3,4]",False,"[""positive""]",2,1
20,1,1,[1],9aab104d436ae9fd8d3193cc18db6fd52b675bb3c47af80e8dab9dc64dc4bcb9,10,V2C00343,1,"[1,2,8,9]",4,"[1,2,3,4]",False,"[""positive""]",2,1
20,5,5,[5],b309dfd67adffa159fdd7617b7d18a184deac4a26aba880bef262ac33c2bae49,10,V2C00344,1,"[1,2,8,9]",4,"[1,2,3,4]",False,"[""positive""]",2,1
20,1,1,[1],bf96277ee91d1ba307c6ca5c6f8f56dfca550361283de79703ed834c3ea70ec4,10,V2C00345,1,"[1,2,8,9]",4,"[1,2,3,4]",False,"[""positive""]",2,1
20,4,4,[4],bfc94cf98b0ecc96b0682396db8424c6ac8854d0b1cdf86939ba5e6f10fea1d4,10,V2C00346,1,"[1,2,8,9]",4,"[1,2,3,4]",False,"[""positive""]",2,1
20,4,4,[4],c2017b9edc99e18f8a626a426936fb04a99a68adc9a130b7b995f3c1c0a09003,10,V2C00347,1,"[1,2,8,9]",4,"[1,2,3,4]",False,"[""positive""]",2,1
20,2,2,[2],d5cb868f906a8e579dbe28390206aa16c73fa6eae9ae6588bab70248a844933c,10,V2C00348,1,"[1,2,8,9]",4,"[1,2,3,4]",False,"[""positive""]",2,1
20,2,2,[2],d5cddb6f6b13568f8478cd83d3321dfc4bd068f719b215d690b045d2b85626d3,10,V2C00349,1,"[1,2,8,9]",4,"[1,2,3,4]",False,"[""positive""]",2,1
20,0,0,[0],d747dd9e20399ecbc192da5caf8df77f5411551f39f98492227f6c89a5e6b397,10,V2C00350,1,"[1,2,8,9]",4,"[1,2,3,4]",False,"[""zero""]",2,1
20,2,2,[2],d7c0bbe3eeeed6da74a3bf1ad7a1dabe069f3a8501b142ae8e8253be77483836,10,V2C00351,1,"[1,2,8,9]",4,"[1,2,3,4]",False,"[""positive""]",2,1
20,2,2,[2],e35f1cef60bc3f4021ce18a8411ef7b5742f00a62cee1b145cc7356eab0358e6,10,V2C00352,1,"[1,2,8,9]",4,"[1,2,3,4]",False,"[""positive""]",2,1
20,0,0,[0],ea66681bd3fa31c8e11d6ea78480e8270755413f76617e47632eef9ba03af4e2,10,V2C00353,1,"[1,2,8,9]",4,"[1,2,3,4]",False,"[""zero""]",2,1
20,1,1,[1],f2c8de3d4c09a32f9a17790a4920cec574780af906752c66e0d3b57c9ded2edd,10,V2C00354,1,"[1,2,8,9]",4,"[1,2,3,4]",False,"[""positive""]",2,1
20,3,3,[3],f8978fbfe533a13cd556d5b074f1b016c3c59536cb5f35b0a8f50ef7f21890f9,10,V2C00355,1,"[1,2,8,9]",4,"[1,2,3,4]",False,"[""positive""]",2,1
13,-4,-4,[-4],0beceb8a734859055b448c96855ffeb6d985db8436505cef461a78c612cdd28c,10,V2C00356,1,"[1,3,4,5]",4,"[1,2,3,4]",False,"[""negative""]",40,27
13,0,0,[0],25b63d91ffffefe5ce70df559ef971fa18ef128a7d4e68fd23d74e049c3e9241,10,V2C00357,1,"[1,3,4,5]",4,"[1,2,3,4]",False,"[""zero""]",40,27
13,-3,-3,[-3],34b190b5610a41440aa52bd08cc4669f73a9fa8b3079a46009fd2c5df1db8934,10,V2C00358,1,"[1,3,4,5]",4,"[1,2,3,4]",False,"[""negative""]",40,27
13,0,0,[0],35fc9ce4259d0ea82513a1c12593793b28f6b55e3f82df003e797e0d5baac9cc,10,V2C00359,1,"[1,3,4,5]",4,"[1,2,3,4]",False,"[""zero""]",40,27
13,-3,-3,[-3],79b1633a597afd6168627e40c94d06da15c6fe9d1190e6706ab073336c25f82b,10,V2C00360,1,"[1,3,4,5]",4,"[1,2,3,4]",False,"[""negative""]",40,27
13,-2,-2,[-2],a5f58ea3ca673a218027454b420ebac3db95bc1163f6c6b84f24fe9fe4ad4101,10,V2C00361,1,"[1,3,4,5]",4,"[1,2,3,4]",False,"[""negative""]",40,27
13,1,0,"[0,1]",a6e8f755912a2036daa82da85871299b04f26a37ce5645bead34dd133f460b87,10,V2C00362,2,"[1,3,4,5]",4,"[1,2,3,4]",False,"[""positive"",""zero""]",40,27
13,-2,-2,[-2],aac920d42175c0111569e218d1d5ddf9eb4a6fdca7cd09bee48ecf84934b5f94,10,V2C00363,1,"[1,3,4,5]",4,"[1,2,3,4]",False,"[""negative""]",40,27
13,-1,-1,[-1],c05f23394596ae9fa98df31ef87a596f92c6c6244caad6bfd01272cc5daa4d63,10,V2C00364,1,"[1,3,4,5]",4,"[1,2,3,4]",False,"[""negative""]",40,27
13,-2,-2,[-2],c23b3ba67a722e02ce17f0c28ffbf2fc60adf58875dfb5083ee34e0edb570b0b,10,V2C00365,1,"[1,3,4,5]",4,"[1,2,3,4]",False,"[""negative""]",40,27
13,-1,-1,[-1],c2be3a981d3ef5cf56f6d4c5b35f7f7d6e14056f9641ec7964439c2543d09e4e,10,V2C00366,1,"[1,3,4,5]",4,"[1,2,3,4]",False,"[""negative""]",40,27
13,-1,-1,[-1],d9c68703a6aba49a2be277565fb4948f8fc8c1ae4eaaca7e8ceb5696a9867721,10,V2C00367,1,"[1,3,4,5]",4,"[1,2,3,4]",False,"[""negative""]",40,27
13,-3,-3,[-3],eeeb84a07001d490acb2e41ca051999ffeb0b61ed70ee0adf318857cb3d31a80,10,V2C00368,1,"[1,3,4,5]",4,"[1,2,3,4]",False,"[""negative""]",40,27
14,-3,-3,[-3],06365582b5ac2955c7b7e93867da332245395da2260b283feb7ede45c19b8f32,10,V2C00369,1,"[1,3,4,6]",4,"[1,2,3,4]",False,"[""negative""]",20,13
14,-3,-3,[-3],0beceb8a734859055b448c96855ffeb6d985db8436505cef461a78c612cdd28c,10,V2C00370,1,"[1,3,4,6]",4,"[1,2,3,4]",False,"[""negative""]",20,13
14,0,0,[0],25b63d91ffffefe5ce70df559ef971fa18ef128a7d4e68fd23d74e049c3e9241,10,V2C00371,1,"[1,3,4,6]",4,"[1,2,3,4]",False,"[""zero""]",20,13
14,-2,-2,[-2],289004324b08c05289d088ece7659bf1589e11031e41c88b243d840ff4860908,10,V2C00372,1,"[1,3,4,6]",4,"[1,2,3,4]",False,"[""negative""]",20,13
14,-2,-2,[-2],34b190b5610a41440aa52bd08cc4669f73a9fa8b3079a46009fd2c5df1db8934,10,V2C00373,1,"[1,3,4,6]",4,"[1,2,3,4]",False,"[""negative""]",20,13
14,-1,-1,[-1],65448a3712e365b672836df59c3aa18934d863ddd8f161aea2af9a503d4eead3,10,V2C00374,1,"[1,3,4,6]",4,"[1,2,3,4]",False,"[""negative""]",20,13
14,-4,-4,[-4],70363939d1c824af8b02413be2ce151ba315a7dcfeba65534e9d21662b30564b,10,V2C00375,1,"[1,3,4,6]",4,"[1,2,3,4]",False,"[""negative""]",20,13
14,-2,-2,[-2],7398ac56383a9fe707e8b84d7c51e036d37ffa96846ec9ebea1633f05f55d881,10,V2C00376,1,"[1,3,4,6]",4,"[1,2,3,4]",False,"[""negative""]",20,13
14,-3,-3,[-3],79b1633a597afd6168627e40c94d06da15c6fe9d1190e6706ab073336c25f82b,10,V2C00377,1,"[1,3,4,6]",4,"[1,2,3,4]",False,"[""negative""]",20,13
14,1,1,[1],87a1c0f2d61c0de63bae799fc5dd47cf3a40e996ffb463685e266659e21fd38e,10,V2C00378,1,"[1,3,4,6]",4,"[1,2,3,4]",False,"[""positive""]",20,13
14,-2,-2,[-2],a5f58ea3ca673a218027454b420ebac3db95bc1163f6c6b84f24fe9fe4ad4101,10,V2C00379,1,"[1,3,4,6]",4,"[1,2,3,4]",False,"[""negative""]",20,13
14,0,0,[0],a6e8f755912a2036daa82da85871299b04f26a37ce5645bead34dd133f460b87,10,V2C00380,1,"[1,3,4,6]",4,"[1,2,3,4]",False,"[""zero""]",20,13
14,-2,-2,[-2],aac920d42175c0111569e218d1d5ddf9eb4a6fdca7cd09bee48ecf84934b5f94,10,V2C00381,1,"[1,3,4,6]",4,"[1,2,3,4]",False,"[""negative""]",20,13
14,0,0,[0],c05f23394596ae9fa98df31ef87a596f92c6c6244caad6bfd01272cc5daa4d63,10,V2C00382,1,"[1,3,4,6]",4,"[1,2,3,4]",False,"[""zero""]",20,13
14,-1,-1,[-1],c23b3ba67a722e02ce17f0c28ffbf2fc60adf58875dfb5083ee34e0edb570b0b,10,V2C00383,1,"[1,3,4,6]",4,"[1,2,3,4]",False,"[""negative""]",20,13
14,0,0,[0],c2be3a981d3ef5cf56f6d4c5b35f7f7d6e14056f9641ec7964439c2543d09e4e,10,V2C00384,1,"[1,3,4,6]",4,"[1,2,3,4]",False,"[""zero""]",20,13
14,-1,-1,[-1],d9c68703a6aba49a2be277565fb4948f8fc8c1ae4eaaca7e8ceb5696a9867721,10,V2C00385,1,"[1,3,4,6]",4,"[1,2,3,4]",False,"[""negative""]",20,13
14,0,0,[0],ea66681bd3fa31c8e11d6ea78480e8270755413f76617e47632eef9ba03af4e2,10,V2C00386,1,"[1,3,4,6]",4,"[1,2,3,4]",False,"[""zero""]",20,13
14,-2,-2,[-2],eeeb84a07001d490acb2e41ca051999ffeb0b61ed70ee0adf318857cb3d31a80,10,V2C00387,1,"[1,3,4,6]",4,"[1,2,3,4]",False,"[""negative""]",20,13
14,-4,-4,[-4],fb64c3c790757cecf7c382b67151b0b6fbc0ae766d60fb63a07558af34321611,10,V2C00388,1,"[1,3,4,6]",4,"[1,2,3,4]",False,"[""negative""]",20,13
15,-2,-2,[-2],06365582b5ac2955c7b7e93867da332245395da2260b283feb7ede45c19b8f32,10,V2C00389,1,"[1,3,4,7]",4,"[1,2,3,4]",False,"[""negative""]",8,5
15,-2,-2,[-2],0beceb8a734859055b448c96855ffeb6d985db8436505cef461a78c612cdd28c,10,V2C00390,1,"[1,3,4,7]",4,"[1,2,3,4]",False,"[""negative""]",8,5
15,-1,-1,[-1],289004324b08c05289d088ece7659bf1589e11031e41c88b243d840ff4860908,10,V2C00391,1,"[1,3,4,7]",4,"[1,2,3,4]",False,"[""negative""]",8,5
15,-1,-1,[-1],34b190b5610a41440aa52bd08cc4669f73a9fa8b3079a46009fd2c5df1db8934,10,V2C00392,1,"[1,3,4,7]",4,"[1,2,3,4]",False,"[""negative""]",8,5
15,0,0,[0],65448a3712e365b672836df59c3aa18934d863ddd8f161aea2af9a503d4eead3,10,V2C00393,1,"[1,3,4,7]",4,"[1,2,3,4]",False,"[""zero""]",8,5
15,-3,-3,[-3],70363939d1c824af8b02413be2ce151ba315a7dcfeba65534e9d21662b30564b,10,V2C00394,1,"[1,3,4,7]",4,"[1,2,3,4]",False,"[""negative""]",8,5
15,-1,-1,[-1],7398ac56383a9fe707e8b84d7c51e036d37ffa96846ec9ebea1633f05f55d881,10,V2C00395,1,"[1,3,4,7]",4,"[1,2,3,4]",False,"[""negative""]",8,5
15,1,1,[1],87a1c0f2d61c0de63bae799fc5dd47cf3a40e996ffb463685e266659e21fd38e,10,V2C00396,1,"[1,3,4,7]",4,"[1,2,3,4]",False,"[""positive""]",8,5
15,0,0,[0],a6e8f755912a2036daa82da85871299b04f26a37ce5645bead34dd133f460b87,10,V2C00397,1,"[1,3,4,7]",4,"[1,2,3,4]",False,"[""zero""]",8,5
15,1,1,[1],c05f23394596ae9fa98df31ef87a596f92c6c6244caad6bfd01272cc5daa4d63,10,V2C00398,1,"[1,3,4,7]",4,"[1,2,3,4]",False,"[""positive""]",8,5
15,0,0,[0],c23b3ba67a722e02ce17f0c28ffbf2fc60adf58875dfb5083ee34e0edb570b0b,10,V2C00399,1,"[1,3,4,7]",4,"[1,2,3,4]",False,"[""zero""]",8,5
15,1,1,[1],c2be3a981d3ef5cf56f6d4c5b35f7f7d6e14056f9641ec7964439c2543d09e4e,10,V2C00400,1,"[1,3,4,7]",4,"[1,2,3,4]",False,"[""positive""]",8,5
15,0,0,[0],ea66681bd3fa31c8e11d6ea78480e8270755413f76617e47632eef9ba03af4e2,10,V2C00401,1,"[1,3,4,7]",4,"[1,2,3,4]",False,"[""zero""]",8,5
15,-1,-1,[-1],eeeb84a07001d490acb2e41ca051999ffeb0b61ed70ee0adf318857cb3d31a80,10,V2C00402,1,"[1,3,4,7]",4,"[1,2,3,4]",False,"[""negative""]",8,5
15,-3,-3,[-3],fb64c3c790757cecf7c382b67151b0b6fbc0ae766d60fb63a07558af34321611,10,V2C00403,1,"[1,3,4,7]",4,"[1,2,3,4]",False,"[""negative""]",8,5
16,-1,-1,[-1],06365582b5ac2955c7b7e93867da332245395da2260b283feb7ede45c19b8f32,10,V2C00404,1,"[1,3,4,8]",4,"[1,2,3,4]",False,"[""negative""]",5,3
16,-1,-1,[-1],0df6bde542716c5744afcc5248bc12866f8ce2502be1abe144d6837c68e080a2,10,V2C00405,1,"[1,3,4,8]",4,"[1,2,3,4]",False,"[""negative""]",5,3
16,0,0,[0],289004324b08c05289d088ece7659bf1589e11031e41c88b243d840ff4860908,10,V2C00406,1,"[1,3,4,8]",4,"[1,2,3,4]",False,"[""zero""]",5,3
16,0,0,[0],3ca03539be6ab086d0397d6b9a775967db4072cea9c95a032895b43e34fcc9be,10,V2C00407,1,"[1,3,4,8]",4,"[1,2,3,4]",False,"[""zero""]",5,3
16,0,0,[0],5c200179a750bc19d10f8158a99c4a7ef1c6ca468862a28221f78e0f8b7ec91c,10,V2C00408,1,"[1,3,4,8]",4,"[1,2,3,4]",False,"[""zero""]",5,3
16,1,1,[1],65448a3712e365b672836df59c3aa18934d863ddd8f161aea2af9a503d4eead3,10,V2C00409,1,"[1,3,4,8]",4,"[1,2,3,4]",False,"[""positive""]",5,3
16,-2,-2,[-2],70363939d1c824af8b02413be2ce151ba315a7dcfeba65534e9d21662b30564b,10,V2C00410,1,"[1,3,4,8]",4,"[1,2,3,4]",False,"[""negative""]",5,3
16,0,0,[0],7398ac56383a9fe707e8b84d7c51e036d37ffa96846ec9ebea1633f05f55d881,10,V2C00411,1,"[1,3,4,8]",4,"[1,2,3,4]",False,"[""zero""]",5,3
16,1,1,[1],87a1c0f2d61c0de63bae799fc5dd47cf3a40e996ffb463685e266659e21fd38e,10,V2C00412,1,"[1,3,4,8]",4,"[1,2,3,4]",False,"[""positive""]",5,3
16,2,2,[2],a13efc38b8d612d3156aadb1164ead20d0cb98eebacc3cb39e54ff04b0241757,10,V2C00413,1,"[1,3,4,8]",4,"[1,2,3,4]",False,"[""positive""]",5,3
16,0,0,[0],a6e8f755912a2036daa82da85871299b04f26a37ce5645bead34dd133f460b87,10,V2C00414,1,"[1,3,4,8]",4,"[1,2,3,4]",False,"[""zero""]",5,3
16,1,1,[1],bf96277ee91d1ba307c6ca5c6f8f56dfca550361283de79703ed834c3ea70ec4,10,V2C00415,1,"[1,3,4,8]",4,"[1,2,3,4]",False,"[""positive""]",5,3
16,0,0,[0],ea66681bd3fa31c8e11d6ea78480e8270755413f76617e47632eef9ba03af4e2,10,V2C00416,1,"[1,3,4,8]",4,"[1,2,3,4]",False,"[""zero""]",5,3
16,-2,-2,[-2],fb64c3c790757cecf7c382b67151b0b6fbc0ae766d60fb63a07558af34321611,10,V2C00417,1,"[1,3,4,8]",4,"[1,2,3,4]",False,"[""negative""]",5,3
17,0,0,[0],0df6bde542716c5744afcc5248bc12866f8ce2502be1abe144d6837c68e080a2,10,V2C00418,1,"[1,3,4,9]",4,"[1,2,3,4]",False,"[""zero""]",40,23
17,3,3,[3],22b63d5f817dfd2c85ea10e7620dd96ce2db5b8b4f61fe36fb04096fd6ca3457,10,V2C00419,1,"[1,3,4,9]",4,"[1,2,3,4]",False,"[""positive""]",40,23
17,1,1,[1],3ca03539be6ab086d0397d6b9a775967db4072cea9c95a032895b43e34fcc9be,10,V2C00420,1,"[1,3,4,9]",4,"[1,2,3,4]",False,"[""positive""]",40,23
17,0,0,[0],54c92a0ece903de78fb5bd1429e8b7df5118e95f8bfef93dac7424f79f1b3989,10,V2C00421,1,"[1,3,4,9]",4,"[1,2,3,4]",False,"[""zero""]",40,23
17,2,2,[2],566357391221ce5825d6149cb155d0bc5c27a9361fb17ee13ffc442b5f4a8ef7,10,V2C00422,1,"[1,3,4,9]",4,"[1,2,3,4]",False,"[""positive""]",40,23
17,1,1,[1],5c200179a750bc19d10f8158a99c4a7ef1c6ca468862a28221f78e0f8b7ec91c,10,V2C00423,1,"[1,3,4,9]",4,"[1,2,3,4]",False,"[""positive""]",40,23
17,1,1,[1],87a1c0f2d61c0de63bae799fc5dd47cf3a40e996ffb463685e266659e21fd38e,10,V2C00424,1,"[1,3,4,9]",4,"[1,2,3,4]",False,"[""positive""]",40,23
17,3,3,[3],a13efc38b8d612d3156aadb1164ead20d0cb98eebacc3cb39e54ff04b0241757,10,V2C00425,1,"[1,3,4,9]",4,"[1,2,3,4]",False,"[""positive""]",40,23
17,0,0,[0],a6e8f755912a2036daa82da85871299b04f26a37ce5645bead34dd133f460b87,10,V2C00426,1,"[1,3,4,9]",4,"[1,2,3,4]",False,"[""zero""]",40,23
17,1,1,[1],aa398c89211044a7bfcf4408f719fa25ae08e5624076ee1216b0c0dde6c79776,10,V2C00427,1,"[1,3,4,9]",4,"[1,2,3,4]",False,"[""positive""]",40,23
17,2,2,[2],bf96277ee91d1ba307c6ca5c6f8f56dfca550361283de79703ed834c3ea70ec4,10,V2C00428,1,"[1,3,4,9]",4,"[1,2,3,4]",False,"[""positive""]",40,23
17,1,1,[1],c289548e2cdd3d81f1baca3d4583d8291a994759b3ef3bd06c0b3cbd778789fd,10,V2C00429,1,"[1,3,4,9]",4,"[1,2,3,4]",False,"[""positive""]",40,23
17,0,0,[0],ea66681bd3fa31c8e11d6ea78480e8270755413f76617e47632eef9ba03af4e2,10,V2C00430,1,"[1,3,4,9]",4,"[1,2,3,4]",False,"[""zero""]",40,23
17,3,3,[3],f8978fbfe533a13cd556d5b074f1b016c3c59536cb5f35b0a8f50ef7f21890f9,10,V2C00431,1,"[1,3,4,9]",4,"[1,2,3,4]",False,"[""positive""]",40,23
15,-2,-2,[-2],06365582b5ac2955c7b7e93867da332245395da2260b283feb7ede45c19b8f32,10,V2C00432,1,"[1,3,5,6]",4,"[1,2,3,4]",False,"[""negative""]",8,5
15,-2,-2,[-2],0beceb8a734859055b448c96855ffeb6d985db8436505cef461a78c612cdd28c,10,V2C00433,1,"[1,3,5,6]",4,"[1,2,3,4]",False,"[""negative""]",8,5
15,1,1,[1],141843abbc1ad36d104a05bb60ecda8e13845da4539cd651c5c9d0010163f01e,10,V2C00434,1,"[1,3,5,6]",4,"[1,2,3,4]",False,"[""positive""]",8,5
15,0,0,[0],25b63d91ffffefe5ce70df559ef971fa18ef128a7d4e68fd23d74e049c3e9241,10,V2C00435,1,"[1,3,5,6]",4,"[1,2,3,4]",False,"[""zero""]",8,5
15,-2,-2,[-2],289004324b08c05289d088ece7659bf1589e11031e41c88b243d840ff4860908,10,V2C00436,1,"[1,3,5,6]",4,"[1,2,3,4]",False,"[""negative""]",8,5
15,-1,-1,[-1],42957ee41e558fa0677d336c93a6e1fb3cdc50509870fc1061d87044394d3ca6,10,V2C00437,1,"[1,3,5,6]",4,"[1,2,3,4]",False,"[""negative""]",8,5
15,-1,-1,[-1],429e40c48a57d6d3c915784e8c9dcea211a3fffe939cd39315938341a18c11de,10,V2C00438,1,"[1,3,5,6]",4,"[1,2,3,4]",False,"[""negative""]",8,5
15,-1,-1,[-1],65448a3712e365b672836df59c3aa18934d863ddd8f161aea2af9a503d4eead3,10,V2C00439,1,"[1,3,5,6]",4,"[1,2,3,4]",False,"[""negative""]",8,5
15,-2,-2,[-2],67d378bd917ef7941850e40b4b54829c7a652126026872255e1b3ccb9133adc4,10,V2C00440,1,"[1,3,5,6]",4,"[1,2,3,4]",False,"[""negative""]",8,5
15,-4,-4,[-4],70363939d1c824af8b02413be2ce151ba315a7dcfeba65534e9d21662b30564b,10,V2C00441,1,"[1,3,5,6]",4,"[1,2,3,4]",False,"[""negative""]",8,5
15,-2,-2,[-2],7398ac56383a9fe707e8b84d7c51e036d37ffa96846ec9ebea1633f05f55d881,10,V2C00442,1,"[1,3,5,6]",4,"[1,2,3,4]",False,"[""negative""]",8,5
15,1,1,[1],7664a14cb67c08a74ce4f9a0a091c138c675d4fe9d64de17cfdb17eb70c1940b,10,V2C00443,1,"[1,3,5,6]",4,"[1,2,3,4]",False,"[""positive""]",8,5
15,-2,-2,[-2],86c36de9ab29324281fbbb5548914d22acc1c4ade8257c3a72b60f88ef351a2d,10,V2C00444,1,"[1,3,5,6]",4,"[1,2,3,4]",False,"[""negative""]",8,5
15,1,1,[1],87a1c0f2d61c0de63bae799fc5dd47cf3a40e996ffb463685e266659e21fd38e,10,V2C00445,1,"[1,3,5,6]",4,"[1,2,3,4]",False,"[""positive""]",8,5
15,-1,-1,[-1],aac920d42175c0111569e218d1d5ddf9eb4a6fdca7cd09bee48ecf84934b5f94,10,V2C00446,1,"[1,3,5,6]",4,"[1,2,3,4]",False,"[""negative""]",8,5
15,0,0,[0],c05f23394596ae9fa98df31ef87a596f92c6c6244caad6bfd01272cc5daa4d63,10,V2C00447,1,"[1,3,5,6]",4,"[1,2,3,4]",False,"[""zero""]",8,5
15,0,0,[0],c2be3a981d3ef5cf56f6d4c5b35f7f7d6e14056f9641ec7964439c2543d09e4e,10,V2C00448,1,"[1,3,5,6]",4,"[1,2,3,4]",False,"[""zero""]",8,5
15,-1,-1,[-1],d9c68703a6aba49a2be277565fb4948f8fc8c1ae4eaaca7e8ceb5696a9867721,10,V2C00449,1,"[1,3,5,6]",4,"[1,2,3,4]",False,"[""negative""]",8,5
15,0,0,[0],ea66681bd3fa31c8e11d6ea78480e8270755413f76617e47632eef9ba03af4e2,10,V2C00450,1,"[1,3,5,6]",4,"[1,2,3,4]",False,"[""zero""]",8,5
15,-1,-1,[-1],eeeb84a07001d490acb2e41ca051999ffeb0b61ed70ee0adf318857cb3d31a80,10,V2C00451,1,"[1,3,5,6]",4,"[1,2,3,4]",False,"[""negative""]",8,5
15,-3,-3,[-3],fb64c3c790757cecf7c382b67151b0b6fbc0ae766d60fb63a07558af34321611,10,V2C00452,1,"[1,3,5,6]",4,"[1,2,3,4]",False,"[""negative""]",8,5
16,-1,-1,[-1],06365582b5ac2955c7b7e93867da332245395da2260b283feb7ede45c19b8f32,10,V2C00453,1,"[1,3,5,7]",4,"[1,2,3,4]",False,"[""negative""]",5,3
16,-1,-1,[-1],0beceb8a734859055b448c96855ffeb6d985db8436505cef461a78c612cdd28c,10,V2C00454,1,"[1,3,5,7]",4,"[1,2,3,4]",False,"[""negative""]",5,3
16,1,1,[1],141843abbc1ad36d104a05bb60ecda8e13845da4539cd651c5c9d0010163f01e,10,V2C00455,1,"[1,3,5,7]",4,"[1,2,3,4]",False,"[""positive""]",5,3
16,-1,-1,[-1],289004324b08c05289d088ece7659bf1589e11031e41c88b243d840ff4860908,10,V2C00456,1,"[1,3,5,7]",4,"[1,2,3,4]",False,"[""negative""]",5,3
16,0,0,[0],429e40c48a57d6d3c915784e8c9dcea211a3fffe939cd39315938341a18c11de,10,V2C00457,1,"[1,3,5,7]",4,"[1,2,3,4]",False,"[""zero""]",5,3
16,0,0,[0],65448a3712e365b672836df59c3aa18934d863ddd8f161aea2af9a503d4eead3,10,V2C00458,1,"[1,3,5,7]",4,"[1,2,3,4]",False,"[""zero""]",5,3
16,-3,-3,[-3],70363939d1c824af8b02413be2ce151ba315a7dcfeba65534e9d21662b30564b,10,V2C00459,1,"[1,3,5,7]",4,"[1,2,3,4]",False,"[""negative""]",5,3
16,-1,-1,[-1],7398ac56383a9fe707e8b84d7c51e036d37ffa96846ec9ebea1633f05f55d881,10,V2C00460,1,"[1,3,5,7]",4,"[1,2,3,4]",False,"[""negative""]",5,3
16,1,1,[1],7664a14cb67c08a74ce4f9a0a091c138c675d4fe9d64de17cfdb17eb70c1940b,10,V2C00461,1,"[1,3,5,7]",4,"[1,2,3,4]",False,"[""positive""]",5,3
16,-1,-1,[-1],86c36de9ab29324281fbbb5548914d22acc1c4ade8257c3a72b60f88ef351a2d,10,V2C00462,1,"[1,3,5,7]",4,"[1,2,3,4]",False,"[""negative""]",5,3
16,1,1,[1],87a1c0f2d61c0de63bae799fc5dd47cf3a40e996ffb463685e266659e21fd38e,10,V2C00463,1,"[1,3,5,7]",4,"[1,2,3,4]",False,"[""positive""]",5,3
