pattern,positive_pairs,status,valid_nonwitness_comparisons
"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]",18,NO_INTERNAL_NEGATIVE_CONTROL,0
"[[2,3],1,1,""EDD_ONLY_CHANGE""]",24,NO_INTERNAL_NEGATIVE_CONTROL,0
