EDD_changed,EDD_high,EDD_low,changed_p_ranks,class_id,cycles,due_rank_distance,high_due_ranks,low_due_ranks,min_transpositions,pattern,position_mapping
True,"[2,3,1,4]","[3,2,1,4]","[2,3]",V2C00187,"[[1],[2,3],[4]]",1,"[3,1,2,4]","[3,2,1,4]",1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[1,3,2,4]"
True,"[2,3,1,4]","[3,2,1,4]","[2,3]",V2C00199,"[[1],[2,3],[4]]",1,"[3,1,2,4]","[3,2,1,4]",1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[1,3,2,4]"
True,"[2,3,4,1]","[3,2,4,1]","[2,3]",V2C00214,"[[1],[2,3],[4]]",1,"[4,1,2,3]","[4,2,1,3]",1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[1,3,2,4]"
True,"[1,3,4,2]","[3,1,4,2]","[1,3]",V2C00221,"[[1,3],[2],[4]]",1,"[1,4,2,3]","[2,4,1,3]",1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[3,2,1,4]"
True,"[2,3,4,1]","[3,2,4,1]","[2,3]",V2C00232,"[[1],[2,3],[4]]",1,"[4,1,2,3]","[4,2,1,3]",1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[1,3,2,4]"
True,"[1,3,4,2]","[3,1,4,2]","[1,3]",V2C00236,"[[1,3],[2],[4]]",1,"[1,4,2,3]","[2,4,1,3]",1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[3,2,1,4]"
True,"[2,3,4,1]","[3,2,4,1]","[2,3]",V2C00245,"[[1],[2,3],[4]]",1,"[4,1,2,3]","[4,2,1,3]",1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[1,3,2,4]"
True,"[2,3,4,1]","[3,2,4,1]","[2,3]",V2C00270,"[[1],[2,3],[4]]",1,"[4,1,2,3]","[4,2,1,3]",1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[1,3,2,4]"
True,"[1,3,4,2]","[3,1,4,2]","[1,3]",V2C00273,"[[1,3],[2],[4]]",1,"[1,4,2,3]","[2,4,1,3]",1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[3,2,1,4]"
True,"[2,3,4,1]","[3,2,4,1]","[2,3]",V2C00281,"[[1],[2,3],[4]]",1,"[4,1,2,3]","[4,2,1,3]",1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[1,3,2,4]"
True,"[2,3,4,1]","[3,2,4,1]","[2,3]",V2C00309,"[[1],[2,3],[4]]",1,"[4,1,2,3]","[4,2,1,3]",1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[1,3,2,4]"
True,"[2,1,3,4]","[2,3,1,4]","[1,3]",V2C00362,"[[1,3],[2],[4]]",1,"[2,1,3,4]","[3,1,2,4]",1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[3,2,1,4]"
True,"[2,1,3,4]","[2,3,1,4]","[1,3]",V2C00895,"[[1,3],[2],[4]]",1,"[2,1,3,4]","[3,1,2,4]",1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[3,2,1,4]"
