"FULL_family_count","closure_count","equivalence_valid","instance_id","panel","reason"
"1","2","True","B_o004_r00810","B","closure_count>1"
"1","2","True","B_o004_r00815","B","closure_count>1"
"1","2","True","B_o004_r00816","B","closure_count>1"
"1","2","True","B_o005_r00847","B","closure_count>1"
"1","2","True","B_o005_r00848","B","closure_count>1"
"1","2","True","B_o005_r00871","B","closure_count>1"
"1","2","True","B_o005_r00872","B","closure_count>1"
"1","2","True","B_o005_r00895","B","closure_count>1"
"1","2","True","B_o005_r00896","B","closure_count>1"
"1","2","True","B_o005_r00897","B","closure_count>1"
"1","2","True","B_o005_r00898","B","closure_count>1"
"1","2","True","B_o005_r00899","B","closure_count>1"
"1","2","True","B_o005_r00900","B","closure_count>1"
"1","2","True","B_o005_r00923","B","closure_count>1"
"1","2","True","B_o005_r00924","B","closure_count>1"
"1","2","True","B_o005_r00929","B","closure_count>1"
"1","2","True","B_o005_r00930","B","closure_count>1"
"1","2","True","B_o005_r00935","B","closure_count>1"
"1","2","True","B_o005_r00936","B","closure_count>1"
"1","2","True","B_o006_r00967","B","closure_count>1"
"1","2","True","B_o006_r00968","B","closure_count>1"
"1","2","True","B_o006_r00991","B","closure_count>1"
"1","2","True","B_o006_r00992","B","closure_count>1"
"1","2","True","B_o006_r01015","B","closure_count>1"
"1","2","True","B_o006_r01016","B","closure_count>1"
"1","2","True","B_o006_r01017","B","closure_count>1"
"1","2","True","B_o006_r01018","B","closure_count>1"
"1","2","True","B_o006_r01019","B","closure_count>1"
"1","2","True","B_o006_r01020","B","closure_count>1"
"1","2","True","B_o006_r01037","B","closure_count>1"
"1","2","True","B_o006_r01038","B","closure_count>1"
"1","3","True","B_o006_r01043","B","closure_count>1"
"1","3","True","B_o006_r01044","B","closure_count>1"
"1","3","True","B_o006_r01049","B","closure_count>1"
"1","3","True","B_o006_r01050","B","closure_count>1"
"1","2","True","B_o006_r01055","B","closure_count>1"
"1","2","True","B_o006_r01056","B","closure_count>1"
"1","2","True","B_o006_r01061","B","closure_count>1"
"1","2","True","B_o006_r01062","B","closure_count>1"
"1","3","True","B_o006_r01067","B","closure_count>1"
"1","3","True","B_o006_r01068","B","closure_count>1"
"1","3","True","B_o006_r01073","B","closure_count>1"
"1","3","True","B_o006_r01074","B","closure_count>1"
"1","2","True","B_o006_r01075","B","closure_count>1"
"1","2","True","B_o006_r01076","B","closure_count>1"
"1","2","True","B_o006_r01077","B","closure_count>1"
"1","2","True","B_o006_r01078","B","closure_count>1"
"1","3","True","B_o006_r01079","B","closure_count>1"
"1","3","True","B_o006_r01080","B","closure_count>1"
"1","2","True","B_o007_r01087","B","closure_count>1"
"1","2","True","B_o007_r01088","B","closure_count>1"
"1","2","True","B_o007_r01111","B","closure_count>1"
"1","2","True","B_o007_r01112","B","closure_count>1"
"1","2","True","B_o007_r01135","B","closure_count>1"
"1","2","True","B_o007_r01136","B","closure_count>1"
"1","2","True","B_o007_r01137","B","closure_count>1"
"1","2","True","B_o007_r01138","B","closure_count>1"
"1","2","True","B_o007_r01139","B","closure_count>1"
"1","2","True","B_o007_r01140","B","closure_count>1"
"1","2","True","B_o007_r01157","B","closure_count>1"
"1","2","True","B_o007_r01158","B","closure_count>1"
"1","3","True","B_o007_r01163","B","closure_count>1"
"1","3","True","B_o007_r01164","B","closure_count>1"
"1","3","True","B_o007_r01169","B","closure_count>1"
"1","3","True","B_o007_r01170","B","closure_count>1"
"1","2","True","B_o007_r01175","B","closure_count>1"
"1","2","True","B_o007_r01176","B","closure_count>1"
"1","2","True","B_o007_r01177","B","closure_count>1"
"1","2","True","B_o007_r01178","B","closure_count>1"
"1","2","True","B_o007_r01179","B","closure_count>1"
"1","2","True","B_o007_r01180","B","closure_count>1"
"1","5","True","B_o007_r01181","B","closure_count>1"
"1","5","True","B_o007_r01182","B","closure_count>1"
"1","2","True","B_o007_r01183","B","closure_count>1"
"1","2","True","B_o007_r01184","B","closure_count>1"
"1","2","True","B_o007_r01185","B","closure_count>1"
"1","2","True","B_o007_r01186","B","closure_count>1"
"1","6","True","B_o007_r01187","B","closure_count>1"
"1","6","True","B_o007_r01188","B","closure_count>1"
"1","2","True","B_o007_r01189","B","closure_count>1"
"1","2","True","B_o007_r01190","B","closure_count>1"
"1","2","True","B_o007_r01191","B","closure_count>1"
"1","2","True","B_o007_r01192","B","closure_count>1"
"1","6","True","B_o007_r01193","B","closure_count>1"
"1","6","True","B_o007_r01194","B","closure_count>1"
"1","3","True","B_o007_r01195","B","closure_count>1"
"1","3","True","B_o007_r01196","B","closure_count>1"
"1","3","True","B_o007_r01197","B","closure_count>1"
"1","3","True","B_o007_r01198","B","closure_count>1"
"1","4","True","B_o007_r01199","B","closure_count>1"
"1","4","True","B_o007_r01200","B","closure_count>1"
"1","2","True","B_o008_r01207","B","closure_count>1"
"1","2","True","B_o008_r01208","B","closure_count>1"
"1","2","True","B_o008_r01231","B","closure_count>1"
"1","2","True","B_o008_r01232","B","closure_count>1"
"1","2","True","B_o008_r01255","B","closure_count>1"
"1","2","True","B_o008_r01256","B","closure_count>1"
"1","2","True","B_o008_r01257","B","closure_count>1"
"1","2","True","B_o008_r01258","B","closure_count>1"
"1","2","True","B_o008_r01259","B","closure_count>1"
"1","2","True","B_o008_r01260","B","closure_count>1"
"1","2","True","B_o008_r01277","B","closure_count>1"
"1","2","True","B_o008_r01278","B","closure_count>1"
"1","3","True","B_o008_r01283","B","closure_count>1"
"1","3","True","B_o008_r01284","B","closure_count>1"
"1","3","True","B_o008_r01289","B","closure_count>1"
"1","3","True","B_o008_r01290","B","closure_count>1"
"1","2","True","B_o008_r01295","B","closure_count>1"
"1","2","True","B_o008_r01296","B","closure_count>1"
"1","2","True","B_o008_r01301","B","closure_count>1"
"1","2","True","B_o008_r01302","B","closure_count>1"
"1","2","True","B_o008_r01307","B","closure_count>1"
