M_K_v2_class,M_K_v2_hash,class_id,d_by_rank,exclusion_reason,in_endpoint_class,instance_id,is_endpoint,pair_id,step
WP09C01026,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01026,"[3,13,1,5,15]",,True,B_o013_r01837,True,XP009,2
WP09C01026,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01026,"[3,13,1,5,15]",,True,B_o013_r01837,True,XP010,0
WP09C00962,28448d17a9ee2aae3393318e3f77410fcb03066404c47c26129e51097629530c,WP09C01026,"[1,13,3,5,15]",,False,B_o013_r01813,False,XP010,1
WP09C01026,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01026,"[1,13,5,3,15]",,True,B_o013_r01815,False,XP010,2
WP09C01026,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01026,"[3,13,5,1,15]",,True,B_o013_r01839,True,XP010,3
WP09C01104,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01104,"[1,13,5,3,17]",,True,B_o014_r01935,True,XP011,0
WP09C01040,28448d17a9ee2aae3393318e3f77410fcb03066404c47c26129e51097629530c,WP09C01104,"[1,13,3,5,17]",,False,B_o014_r01933,False,XP011,1
WP09C01104,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01104,"[3,13,1,5,17]",,True,B_o014_r01957,True,XP011,2
WP09C01104,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01104,"[3,13,1,5,17]",,True,B_o014_r01957,True,XP012,0
WP09C01040,28448d17a9ee2aae3393318e3f77410fcb03066404c47c26129e51097629530c,WP09C01104,"[1,13,3,5,17]",,False,B_o014_r01933,False,XP012,1
WP09C01104,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01104,"[1,13,5,3,17]",,True,B_o014_r01935,False,XP012,2
WP09C01104,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01104,"[3,13,5,1,17]",,True,B_o014_r01959,True,XP012,3
WP09C01158,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01158,"[1,15,5,3,17]",,True,B_o015_r02055,True,XP013,0
WP09C01117,28448d17a9ee2aae3393318e3f77410fcb03066404c47c26129e51097629530c,WP09C01158,"[1,15,3,5,17]",,False,B_o015_r02053,False,XP013,1
