EDD_prefix_t,I_forward,I_reverse,SPT_C_a,SPT_C_b,a_p_rank,b_p_rank,class_id,d_H,d_L,leg,observed_delta_difference,pair_id,path_from,path_predicted_delta_difference,path_to,predicted_delta_difference,prediction_matches
1,B_o024_r03133,B_o024_r03135,7,14,3,4,WP09C01703,7,3,2,3,XP018,B_o024_r03133,3,B_o024_r03135,3,True
0,B_o024_r03135,B_o024_r03159,1,14,1,4,WP09C01703,3,1,3,4,XP018,B_o024_r03135,4,B_o024_r03159,4,True
2,B_o025_r03313,B_o025_r03315,7,14,3,4,WP09C01713,7,3,1,3,XP019,B_o025_r03315,-3,B_o025_r03313,3,True
0,B_o025_r03313,B_o025_r03319,3,7,2,3,WP09C01713,3,1,2,2,XP019,B_o025_r03313,2,B_o025_r03319,2,True
0,B_o025_r03313,B_o025_r03319,3,7,2,3,WP09C01713,3,1,1,2,XP020,B_o025_r03319,-2,B_o025_r03313,2,True
2,B_o025_r03313,B_o025_r03315,7,14,3,4,WP09C01713,7,3,2,3,XP020,B_o025_r03313,3,B_o025_r03315,3,True
0,B_o025_r03315,B_o025_r03321,3,14,2,4,WP09C01713,3,1,3,5,XP020,B_o025_r03315,5,B_o025_r03321,5,True
1,B_o025_r03253,B_o025_r03255,7,14,3,4,WP09C01757,7,3,1,3,XP021,B_o025_r03255,-3,B_o025_r03253,3,True
0,B_o025_r03253,B_o025_r03277,1,7,1,3,WP09C01757,3,1,2,1,XP021,B_o025_r03253,1,B_o025_r03277,1,True
0,B_o025_r03253,B_o025_r03277,1,7,1,3,WP09C01757,3,1,1,1,XP022,B_o025_r03277,-1,B_o025_r03253,1,True
1,B_o025_r03253,B_o025_r03255,7,14,3,4,WP09C01757,7,3,2,3,XP022,B_o025_r03253,3,B_o025_r03255,3,True
0,B_o025_r03255,B_o025_r03279,1,14,1,4,WP09C01757,3,1,3,4,XP022,B_o025_r03255,4,B_o025_r03279,4,True
